,Country,Nationality,Address,Phone,Fax,Email,Website,Office Type,City,Office Hours,Details
Albanian Embassy in India,Albania,Albanian,"B 2, West End, New Delhi, DL 110021, India",+ 91-11-4059-1294,+91-11-4610-8285,embassy.delhi@mfa.gov.al,http://www.ambasadat.gov.al/india/en/,Embassy,,"Monday to Friday
09:00 - 17:00","Mr Fatos Kerciku, Ambassador"
"American Consulate in Chennai, India",United States,American,"Gemini Circle, Chennai 600006, India",044-2857-4000,044-2811-2020,chennaic@state.gov,http://chennai.usconsulate.gov,Consulate,Chennai,,
"American Consulate in Hyderabad, India",United States,American,"Paigah Palace, 1-8-323, Chiran Fort Lane, Begumpet, Secunderabad- 500003, Andhra Pradesh",040-4625-8222 / 0120-484-4644,,HyderabadPA@state.gov,http://hyderabad.usconsulate.gov,Consulate,Hyderabad,"The Consulate General of the United States of America operates from 8:30am to 5:30pm, Monday through Friday, except on holidays.

The Office of Consular Affairs, for all visa related queries, may be contacted from Monday through Friday, between 9:00 am and 12:00pm and between 2:00pm and 4:00pm.",
"American Consulate in Kolkata, India",United States,American,"5/1 Ho Chi Minh Sarani, Kolkata 700071, India",91-33-3984-6300,91-33-2288-1616/0356,kolkataPAS@state.gov,http://kolkata.usconsulate.gov,Consulate,Kolkata,"0800 - 1300, 1400 - 1700, (Monday through Friday)",
"American Consulate in Mumbai, India",United States,American,"C-49, G-Block, Bandra Kurla Complex, Bandra East, Mumbai 400051",011-91-22-2672-4000,,mumbaipublicaffairs@state.gov,http://mumbai.usconsulate.gov,Consulate,Mumbai,,
"American Embassy in New Delhi, India",United States,American,"Shantipath, Chanakyapuri, New Delhi - 110021",011-91-11-2419-8000,011-91-11-2419-0017,NDwebmail@state.gov,http://newdelhi.usembassy.gov,Embassy,New Delhi,,
Antiguan & Barbudan Consulate in India,Antigua and Barbuda,Antiguan & Barbudan,"F-4 (Third Floor)- Anand Niketan, Benito Juarez Marg, New Delhi 110021, India",-,-,ramdas.pai@manipal.edu,,Consulate,,,Dr Ramdas Madhava Pai - Consul General
"Argentinian Consulate in Mumbai, India",Argentina,Argentinian,"Chander Mukhi Building, Unit No. 10A, 10th Floor, Nariman Point",00912222871381/82/83,(91-22) 22024746,cgmum@cancilleria.gob.ar,http://http://cgmum.cancilleria.gov.ar/,Consulate,Mumbai,09:00 - 17:00,"ALEJANDRO ZOTHNER MEYER - Consul General

Consular district:
State of Maharashtra"
"Argentinian Embassy in New Delhi, India",Argentina,Argentinian,"F-3/3 Vasant Vihar, New Delhi (CP: 110057)",(91-11) 4078 1900,(91-11) 4078 1901,eindi@cancilleria.gob.ar,http://http://eindi.cancilleria.gov.ar/,Embassy,New Delhi,10 a.m. to 6 p.m.,"MARIA CRISTINA UELTSCHI.
Ambassador.

Consular Circumscription:
India (except the state of Maharashtra), Sri Lanka, Maldives, Bangladesh, Bhutan and Nepal.

Concurrences:
Sri Lanka, Maldives, Bangladesh, Nepal, Bhutan."
Armenian Consulate in India,Armenia,Armenian,"Mehta Mahal, 7th Floor, 15, Mathew Road, Opera House, 400 004 Mumbai, India","(022) 66650158, 66650100",(022) 23631670,mehta.harshad@rosyblue.com,,Consulate,,"Monday to Friday
09:00 - 18:00",Honorary Consul: Mr. Harshad R. Mehta
Armenian Embassy in India,Armenia,Armenian,"D-133, Anand Niketan, New Delhi 110057, India",(+91) 11-2410 2851 / 2,(+91) 11-2410 2853,armindiaembassy@mfa.am; embassy@armenian.co.in,http://www.armenian.co.in ,Embassy,,09.00-13.00 and 14.00-18.00,Mr Ara Hakobian - Ambassador
"Aruba (Netherlands) Embassy in New Delhi, India",Aruba,Dutch,,,,,,,,,Same as Netherlands
Australian Consulate in India,Australia,Australian,"9th Floor, Express Chambers, Express Avenue Estate, Whites Road, Royapettah, Chennai 600014, India",+91 44 4592 1300,+91 44 4592 1320,-,,Consulate,,,
Austrian Consulate in India,Austria,Austrian,"26 Maker Chambers VI, 2nd floor, Nariman Point, Mumbai 400021, India",(+91) (22) 2285 1734,(+91) (22) 2287 0502,tamara_valladares@jasubhai.com,,Consulate,,10:00 - 18:00,Mr Jasu Shah - Consul General
Austrian Embassy in India,Austria,Austrian,"EP-13, Chandergupta Marg, Chanakyapuri, New Delhi, India",(+91) (11) 24 19 27 00,(+91) (11) 26 88 69 29,new-delhi-ob@bmeia.gv.at; new-delhi-ka@bmeia.gv.at,http://www.bmeia.gv.at/botschaft/new-delhi.html,Embassy,,09:00 - 12:00,Dr Ferdinand Maultaschl - Ambassador
Azerbaijani Embassy in India,Azerbaijan,Azerbaijani,"41, Pschimi Marg, Vasant Vihar, New Delhi 110 057, India",(+9111) 26 15 22 28,(+9111) 26 15 22 27,newdelhi@mission.mfa.gov.az,http://www.azembassy.in,Embassy,,,H.E. Mr. IBRAHIM A. HAJIYEV - Ambassador
Bahamian Consulate in India,Bahamas,Bahamian,"3rd Floor, F-11 East of Kailash, New Delhi 111065, India",(+91) 11-2646-4490,(+91) 11-2646-4492,bahamas@sarafmail.com,,Consulate,,,Mr Ashish Saraf - Consul
